gold_label,predicted_label,count,model_name,scenario
T13,T10,30,RandomForest,05_Balanced
T10,T13,18,XGBoost,03_Full_Clean
T10,T13,15,LogisticRegression,01_Raw_Data
T13,T10,15,LinearSVC,01_Raw_Data
T10,T13,13,LinearSVC,01_Raw_Data
T13,T10,13,LogisticRegression,01_Raw_Data
T03,T10,13,RandomForest,05_Balanced
T02,T10,10,RandomForest,05_Balanced
T10,T13,9,RandomForest,05_Balanced
T02,T03,8,RandomForest,05_Balanced
T06,T10,8,RandomForest,05_Balanced
T10,T15,8,XGBoost,03_Full_Clean
T12,T10,8,RandomForest,05_Balanced
T03,T17,8,XGBoost,03_Full_Clean
T03,T02,7,LogisticRegression,01_Raw_Data
T01,T12,7,XGBoost,03_Full_Clean
T03,T13,7,XGBoost,03_Full_Clean
T04,T10,7,RandomForest,05_Balanced
T03,T10,7,XGBoost,03_Full_Clean
T13,T05,6,XGBoost,03_Full_Clean
T13,T09,6,LogisticRegression,01_Raw_Data
T13,T15,6,XGBoost,03_Full_Clean
T03,T17,6,LogisticRegression,01_Raw_Data
T13,T09,6,XGBoost,03_Full_Clean
T13,T10,6,XGBoost,03_Full_Clean
T10,T03,6,XGBoost,03_Full_Clean
T03,T10,6,LogisticRegression,01_Raw_Data
T03,T10,6,LinearSVC,01_Raw_Data
T10,T03,6,LinearSVC,01_Raw_Data
T15,T10,5,RandomForest,05_Balanced
T15,T03,5,RandomForest,05_Balanced
T12,T03,5,RandomForest,05_Balanced
T13,T03,5,RandomForest,05_Balanced
T10,T03,5,RandomForest,05_Balanced
T13,T09,5,RandomForest,05_Balanced
T01,T10,5,RandomForest,05_Balanced
T10,T02,5,XGBoost,03_Full_Clean
T10,T12,5,XGBoost,03_Full_Clean
T13,T03,5,XGBoost,03_Full_Clean
T13,T09,5,LinearSVC,01_Raw_Data
T13,T03,5,LinearSVC,01_Raw_Data
T10,T02,5,LogisticRegression,01_Raw_Data
T02,T10,5,XGBoost,03_Full_Clean
T15,T02,4,LinearSVC,01_Raw_Data
T09,T17,4,XGBoost,03_Full_Clean
T03,T02,4,LinearSVC,01_Raw_Data
T02,T10,4,LinearSVC,01_Raw_Data
T12,T13,4,XGBoost,03_Full_Clean
T10,T17,4,XGBoost,03_Full_Clean
T03,T09,4,XGBoost,03_Full_Clean
T03,T02,4,XGBoost,03_Full_Clean
T03,T04,4,XGBoost,03_Full_Clean
T13,T17,4,XGBoost,03_Full_Clean
T02,T16,4,XGBoost,03_Full_Clean
T01,T03,4,RandomForest,05_Balanced
T09,T03,4,RandomForest,05_Balanced
T02,T16,4,RandomForest,05_Balanced
T03,T02,4,RandomForest,05_Balanced
T03,T13,4,RandomForest,05_Balanced
T15,T02,4,XGBoost,03_Full_Clean
T12,T13,4,LinearSVC,01_Raw_Data
T02,T06,4,XGBoost,03_Full_Clean
T01,T12,4,LogisticRegression,01_Raw_Data
T09,T17,4,LogisticRegression,01_Raw_Data
T06,T10,4,LogisticRegression,01_Raw_Data
T03,T13,4,LogisticRegression,01_Raw_Data
T10,T03,4,LogisticRegression,01_Raw_Data
T12,T13,4,LogisticRegression,01_Raw_Data
T03,T16,3,XGBoost,03_Full_Clean
T02,T01,3,XGBoost,03_Full_Clean
T03,T17,3,RandomForest,05_Balanced
T07,T03,3,RandomForest,05_Balanced
T06,T03,3,RandomForest,05_Balanced
T12,T14,3,LogisticRegression,01_Raw_Data
T03,T01,3,RandomForest,05_Balanced
T13,T03,3,LogisticRegression,01_Raw_Data
T09,T17,3,RandomForest,05_Balanced
T02,T03,3,XGBoost,03_Full_Clean
T09,T13,3,XGBoost,03_Full_Clean
T13,T04,3,XGBoost,03_Full_Clean
T02,T04,3,XGBoost,03_Full_Clean
T02,T01,3,RandomForest,05_Balanced
T12,T03,3,XGBoost,03_Full_Clean
T04,T12,3,XGBoost,03_Full_Clean
T10,T06,3,XGBoost,03_Full_Clean
T17,T02,3,XGBoost,03_Full_Clean
T13,T16,3,XGBoost,03_Full_Clean
T06,T10,3,LinearSVC,01_Raw_Data
T03,T13,3,LinearSVC,01_Raw_Data
T17,T02,3,LinearSVC,01_Raw_Data
T02,T04,3,LogisticRegression,01_Raw_Data
T15,T02,3,LogisticRegression,01_Raw_Data
T03,T01,3,LogisticRegression,01_Raw_Data
T01,T03,3,LinearSVC,01_Raw_Data
T02,T03,3,LinearSVC,01_Raw_Data
T12,T10,3,LinearSVC,01_Raw_Data
T10,T02,3,LinearSVC,01_Raw_Data
T10,T02,3,RandomForest,05_Balanced
T03,T17,3,LinearSVC,01_Raw_Data
T01,T10,3,LinearSVC,01_Raw_Data
T06,T02,3,LinearSVC,01_Raw_Data
T04,T13,3,LinearSVC,01_Raw_Data
T02,T04,3,LinearSVC,01_Raw_Data
T15,T10,3,LinearSVC,01_Raw_Data
T15,T10,3,LogisticRegression,01_Raw_Data
T11,T10,2,LogisticRegression,01_Raw_Data
T07,T03,2,LogisticRegression,01_Raw_Data
T01,T03,2,LogisticRegression,01_Raw_Data
T13,T07,2,LogisticRegression,01_Raw_Data
T02,T14,2,LogisticRegression,01_Raw_Data
T13,T01,2,LogisticRegression,01_Raw_Data
T17,T12,2,LogisticRegression,01_Raw_Data
T04,T10,2,LogisticRegression,01_Raw_Data
T17,T02,2,LogisticRegression,01_Raw_Data
T13,T15,2,LogisticRegression,01_Raw_Data
T02,T16,2,LogisticRegression,01_Raw_Data
T13,T02,2,LogisticRegression,01_Raw_Data
T03,T09,2,LogisticRegression,01_Raw_Data
T02,T03,2,LogisticRegression,01_Raw_Data
T10,T01,2,LinearSVC,01_Raw_Data
T12,T03,2,LogisticRegression,01_Raw_Data
T09,T13,2,LogisticRegression,01_Raw_Data
T12,T10,2,LogisticRegression,01_Raw_Data
T02,T17,2,XGBoost,03_Full_Clean
T11,T06,2,XGBoost,03_Full_Clean
T09,T12,2,XGBoost,03_Full_Clean
T01,T02,2,XGBoost,03_Full_Clean
T03,T12,2,XGBoost,03_Full_Clean
T06,T07,2,XGBoost,03_Full_Clean
T03,T07,2,XGBoost,03_Full_Clean
T03,T15,2,XGBoost,03_Full_Clean
T13,T08,2,LogisticRegression,01_Raw_Data
T02,T12,2,XGBoost,03_Full_Clean
T04,T13,2,XGBoost,03_Full_Clean
T01,T05,2,XGBoost,03_Full_Clean
T03,T06,2,XGBoost,03_Full_Clean
T07,T03,2,XGBoost,03_Full_Clean
T06,T13,2,XGBoost,03_Full_Clean
T10,T16,2,XGBoost,03_Full_Clean
T15,T07,2,XGBoost,03_Full_Clean
T15,T12,2,XGBoost,03_Full_Clean
T16,T06,2,XGBoost,03_Full_Clean
T10,T11,2,XGBoost,03_Full_Clean
T09,T04,2,XGBoost,03_Full_Clean
T10,T04,2,XGBoost,03_Full_Clean
T10,T01,2,XGBoost,03_Full_Clean
T13,T07,2,XGBoost,03_Full_Clean
T10,T08,2,XGBoost,03_Full_Clean
T13,T12,2,XGBoost,03_Full_Clean
T07,T10,2,LogisticRegression,01_Raw_Data
T14,T10,2,LogisticRegression,01_Raw_Data
T09,T03,2,LogisticRegression,01_Raw_Data
T12,T02,2,LinearSVC,01_Raw_Data
T10,T01,2,LogisticRegression,01_Raw_Data
T10,T17,2,LogisticRegression,01_Raw_Data
T11,T10,2,LinearSVC,01_Raw_Data
T13,T02,2,XGBoost,03_Full_Clean
T12,T03,2,LinearSVC,01_Raw_Data
T02,T16,2,LinearSVC,01_Raw_Data
T17,T12,2,RandomForest,05_Balanced
T10,T16,2,RandomForest,05_Balanced
T13,T15,2,RandomForest,05_Balanced
T01,T12,2,RandomForest,05_Balanced
T13,T01,2,RandomForest,05_Balanced
T09,T13,2,RandomForest,05_Balanced
T13,T17,2,RandomForest,05_Balanced
T17,T01,2,RandomForest,05_Balanced
T14,T02,2,RandomForest,05_Balanced
T16,T10,2,RandomForest,05_Balanced
T14,T10,2,RandomForest,05_Balanced
T13,T05,2,RandomForest,05_Balanced
T02,T10,2,LogisticRegression,01_Raw_Data
T04,T12,2,LogisticRegression,01_Raw_Data
T04,T13,2,LogisticRegression,01_Raw_Data
T15,T13,2,LogisticRegression,01_Raw_Data
T01,T13,2,LogisticRegression,01_Raw_Data
T06,T01,2,LogisticRegression,01_Raw_Data
T06,T02,2,LogisticRegression,01_Raw_Data
T02,T13,2,LinearSVC,01_Raw_Data
T10,T09,2,LinearSVC,01_Raw_Data
T02,T13,2,RandomForest,05_Balanced
T07,T10,2,RandomForest,05_Balanced
T06,T01,2,LinearSVC,01_Raw_Data
T16,T13,2,LinearSVC,01_Raw_Data
T01,T02,2,LinearSVC,01_Raw_Data
T07,T03,2,LinearSVC,01_Raw_Data
T12,T14,2,LinearSVC,01_Raw_Data
T13,T01,2,LinearSVC,01_Raw_Data
T13,T02,2,LinearSVC,01_Raw_Data
T09,T13,2,LinearSVC,01_Raw_Data
T13,T15,2,LinearSVC,01_Raw_Data
T14,T10,2,LinearSVC,01_Raw_Data
T15,T13,2,LinearSVC,01_Raw_Data
T13,T08,2,LinearSVC,01_Raw_Data
T17,T03,2,LinearSVC,01_Raw_Data
T09,T17,2,LinearSVC,01_Raw_Data
T02,T14,2,LinearSVC,01_Raw_Data
T04,T03,2,LinearSVC,01_Raw_Data
T04,T10,2,LinearSVC,01_Raw_Data
T01,T12,2,LinearSVC,01_Raw_Data
T01,T13,2,LinearSVC,01_Raw_Data
T13,T07,2,LinearSVC,01_Raw_Data
T03,T01,2,LinearSVC,01_Raw_Data
T07,T10,2,LinearSVC,01_Raw_Data
